OBJECTID,Código de localidad,Nombre de localidad,Dirección,Nombre del Sitio,Nombre del puesto,Número del puesto,Código del puesto,Long,Lat,CoorX,CoorY
183,10,ENGATIVA,Calle 63 B No. 71 A - 16,La Caba√±a,Colegio Distrital Marco Tulio Fern√°ndez - Sede A,43,160011043,-74.10219663,4.674296156,-8249018.796,520918.4263
308,10,ENGATIVA,Diagonal 82 B No. 79 - 10,Tisquesusa,Sal√≥n Comunal,44,160011044,-74.09468949,4.702307462,-8248183.105,524047.0988
184,10,ENGATIVA,Calle 52 A Bis No. 78 - 35 Transversal 85 No. 52 A - 70 *,Santa Cecilia,Sal√≥n Comunal,45,160011045,-74.11305605,4.67724862,-8250227.661,521248.1905
185,10,ENGATIVA,Calle 70 A No. 105 G - 23 / Calle 70 No. 105 F - 28,Plazuelas del Virrey,Sal√≥n Comunal Urbanizaci√≥n Plazuelas del Virrey,46,160011046,-74.12330065,4.704557273,-8251368.084,524298.3929
186,10,ENGATIVA,Calle 64 F Bis No. 68 G - 16,Ciudad de Honda,Colegio Distrital Instituto T√©cnico industrial Francisco Jos√© de Caldas - Sede B,47,160011047,-74.09349928,4.672932559,-8248050.611,520766.1249
309,10,ENGATIVA,Calle 71 B No. 88 - 35,Zarzamora,Sede Social Conjunto Zarzamora CAFAM,48,160011048,-74.10797802,4.696281935,-8249662.377,523374.0778
187,10,ENGATIVA,Calle 70 C No. 111 - 15,Villa Constanza,Sal√≥n Comunal,49,160011049,-74.12846496,4.708291404,-8251942.973,524715.4808
619,10,ENGATIVA,Calle 74 A No. 73 A - 85,Palo Blanco,Colegio Gimnasio El Lago,51,160011051,-74.095567,4.691378,-8248280.788,522826.3373
616,10,ENGATIVA,Carrera 68 H No. 71 A - 01 Carrera 69 No. 71 - 16 *,San Joaqu√≠n,Colegio Distrital Rep√∫blica de Colombia Sede C,52,160011052,-74.089027,4.680191,-8247552.759,521576.8299
494,10,ENGATIVA,Transversal 113 No. 66 - 95,ALMAZAN - Engativ√°,Colegio Tom√°s Cipriano de Mosquera,58,160011058,-74.1345,4.7082,-8252614.79,524705.2713
754,10,ENGATIVA,Calle 67 A No. 103 - 04,Sal√≥n Comunal √Ålamos,Sal√≥n Comunal √Ålamos,60,160011060,-74.12297444,4.698422707,-8251331.77,523613.1906
755,10,ENGATIVA,Carrera 93 A No. 75 B - 80 Carrera 92 No. 75C - 31,Le√≥n Valencia,Colegio Distrital Guillermo Le√≥n Valencia,61,160011061,-74.10861136,4.704311298,-8249732.88,524270.9185
756,10,ENGATIVA,Carrera 83 No. 70 - 15,La Clarita,Sal√≥n Comunal Barrio La Clarita,62,160011062,-74.10575419,4.692167207,-8249414.822,522914.4868
757,10,ENGATIVA,Carrera 82 No. 68 B - 09,Centro Educativo Scalas,Centro Educativo Scalas,63,160011063,-74.10620784,4.690014812,-8249465.321,522674.0779
758,10,ENGATIVA,Calle 73 A No 69 J - 10,Naciones Unidas Sede B,Colegio Distrital Naciones Unidas Sede B,64,160011064,-74.08858585,4.684366278,-8247503.65,522043.176
759,10,ENGATIVA,Carrera 70 G No. 71 - 04,Colegio Norte Adventista,Colegio Adventista del Norte,65,160011065,-74.09436381,4.683743503,-8248146.85,521973.6167
760,10,ENGATIVA,Diagonal 70 No. 70 - 40,Alcal√° Sede B,Colegio Distrital Nestor Forero Alcala Sede B,66,160011066,-74.09316966,4.681993065,-8248013.918,521778.1062
761,10,ENGATIVA,Transversal 99 BIS No. 70A - 89 / Avenida Carrera 96 No. 70A - 89,Diverplaza,Centro Comercial Diverplaza,67,160011067,-74.115112,4.700140999,-8250456.528,523805.1152
762,10,ENGATIVA,Av. Calle 63 No. 73 A - 44,Margarita Bosco,Colegio Margarita Bosco,68,160011068,-74.10595589,4.676707799,-8249437.274,521187.7855
763,10,ENGATIVA,Calle 72 No. 102 - 23 / Avenida Calle 72 No. 102 - 23,Colegio COPES,Colegio Pedag√≥gico del Esp√≠ritu Santo,69,160011069,-74.11810399,4.704984208,-8250789.595,524346.0798
851,10,ENGATIVA,Carrera 83 No. 73 A - 80 / Calle 74 No. 82 - 37 *,Soledad Norte,Colegio Distrital San Jos√© Norte Sede B,70,160011070,-74.102306,4.69603977,-8249030.971,523347.0293
852,10,ENGATIVA,Carrera 89 A No. 86 - 38,Sidauto,Colegio Distrital Jorge Eliecer Gait√°n Sede A,71,160011071,-74.09904224,4.709017951,-8248667.65,524796.6335
853,10,ENGATIVA,Carrera 84 No. 83 - 71,Paris Gait√°n,Colegio Distrital Jorge Eliecer Gait√°n Sede B,72,160011072,-74.09788414,4.704805792,-8248538.731,524326.1514
854,10,ENGATIVA,Carrera 76 No. 79 - 40,La Palestina,Colegio Distrital La Palestina Sede A - Centro de Estudios del Ni√±o,73,160011073,-74.093553,4.697159643,-8248056.591,523472.113
855,10,ENGATIVA,Carera 77 A No. 64 B - 03,El Encanto,Sal√≥n Comunal de Villaluz,74,160011074,-74.10735813,4.681729464,-8249593.371,521748.664
856,10,ENGATIVA,Calle 65 A No. 76 - 53,El Real,Colegio Distrital Robert Kennedy Sede B,75,160011075,-74.10434447,4.683140161,-8249257.892,521906.228
858,10,ENGATIVA,Carrera 87 A No. 84 A - 81,Colegio Lestonac,Colegio Privado Centro Lestonac Compa√±√≠a de Mar√≠a,77,160011077,-74.09906524,4.708032957,-8248670.21,524686.6132
